id,name,difficulty,type,views,share_date
https://www.mountainproject.com/route/106723187/uno,Uno,V0 YDS,"Boulder, 12 ft (4 m)",337 total · 3/month,2010-04-07
https://www.mountainproject.com/route/107059399/the-cave-route,The Cave Route,V7 YDS,"Boulder, 20 ft (6 m)",601 total · 5/month,2011-03-07
https://www.mountainproject.com/route/107059435/unknown,Unknown,V6 YDS,"Boulder, 10 ft (3 m)",473 total · 4/month,2011-03-07
https://www.mountainproject.com/route/111573083/10-a,10 A,V3 YDS,Boulder,337 total · 5/month,2016-01-25
https://www.mountainproject.com/route/111573078/11-a,11 A,V2 YDS,Boulder,330 total · 5/month,2016-01-25
https://www.mountainproject.com/route/111572845/a,A,V1 YDS,Boulder,364 total · 6/month,2016-01-25
https://www.mountainproject.com/route/111568564/b,B,V4 YDS,Boulder,342 total · 5/month,2016-01-24
https://www.mountainproject.com/route/111572848/c,C,V5 YDS,Boulder,338 total · 5/month,2016-01-25
https://www.mountainproject.com/route/111568581/e,E,V3 YDS,Boulder,339 total · 5/month,2016-01-24
https://www.mountainproject.com/route/111573047/a,A,V3 YDS,Boulder,360 total · 6/month,2016-01-25
https://www.mountainproject.com/route/111572893/b,B,V3 YDS,Boulder,341 total · 5/month,2016-01-25
https://www.mountainproject.com/route/111572898/c,C,V5 YDS,Boulder,324 total · 5/month,2016-01-25
